iter	Passed	Remaining
0	64	12817
1	142	14144
2	222	14593
3	307	15080
4	391	15253
5	476	15392
6	560	15448
7	647	15529
8	741	15740
9	831	15789
10	920	15810
11	1022	16026
12	1125	16182
13	1220	16221
14	1317	16244
15	1415	16283
16	1513	16291
17	1610	16283
18	1704	16236
19	1798	16189
20	1895	16156
21	1992	16124
22	2102	16178
23	2202	16154
24	2307	16151
25	2406	16106
26	2507	16066
27	2606	16014
28	2703	15944
29	2804	15890
30	2896	15791
31	2983	15663
32	3075	15566
33	3162	15441
34	3250	15324
35	3341	15223
36	3435	15132
37	3521	15014
38	3610	14906
39	3699	14799
40	3789	14694
41	3882	14605
42	3974	14511
43	4064	14410
44	4152	14303
45	4242	14203
46	4329	14093
47	4421	14000
48	4507	13890
49	4592	13778
50	4682	13680
51	4772	13584
52	4864	13491
53	4951	13387
54	5037	13281
55	5128	13187
56	5218	13090
57	5308	12997
58	5395	12894
59	5480	12786
60	5568	12688
61	5654	12585
62	5741	12484
63	5827	12383
64	5914	12284
65	6003	12188
66	6088	12085
67	6178	11993
68	6265	11894
69	6352	11797
70	6443	11706
71	6534	11616
72	6621	11519
73	6707	11420
74	6798	11331
75	6889	11240
76	6975	11142
77	7063	11048
78	7151	10953
79	7240	10860
80	7326	10763
81	7413	10667
82	7500	10572
83	7590	10481
84	7677	10387
85	7767	10296
86	7860	10209
87	7952	10121
88	8041	10028
89	8128	9935
90	8216	9841
91	8304	9748
92	8388	9651
93	8476	9558
94	8564	9465
95	8651	9372
96	8738	9278
97	8824	9185
98	8916	9096
99	8998	8998
100	9084	8904
101	9174	8814
102	9258	8718
103	9346	8627
104	9429	8531
105	9514	8437
106	9612	8354
107	9701	8263
108	9788	8171
109	9872	8077
110	9959	7985
111	10044	7892
112	10128	7798
113	10215	7706
114	10297	7611
115	10394	7527
116	10483	7437
117	10575	7348
118	10671	7263
119	10767	7178
120	10863	7092
121	10954	7003
122	11037	6909
123	11128	6820
124	11217	6730
125	11301	6637
126	11388	6546
127	11477	6456
128	11564	6365
129	11651	6273
130	11739	6183
131	11826	6092
132	11913	6001
133	12005	5913
134	12095	5823
135	12179	5731
136	12264	5639
137	12349	5548
138	12434	5457
139	12519	5365
140	12664	5299
141	12753	5209
142	12840	5118
143	12932	5029
144	13017	4937
145	13104	4846
146	13189	4755
147	13276	4664
148	13362	4573
149	13448	4482
150	13535	4392
151	13629	4304
152	13726	4216
153	13812	4125
154	13901	4035
155	13994	3947
156	14079	3856
157	14165	3765
158	14252	3675
159	14332	3583
160	14419	3492
161	14506	3402
162	14591	3312
163	14677	3221
164	14766	3132
165	14852	3042
166	14939	2952
167	15024	2861
168	15108	2771
169	15194	2681
170	15280	2591
171	15363	2500
172	15451	2411
173	15538	2321
174	15627	2232
175	15712	2142
176	15801	2053
177	15885	1963
178	15968	1873
179	16053	1783
180	16132	1693
181	16215	1603
182	16301	1514
183	16383	1424
184	16473	1335
185	16560	1246
186	16645	1157
187	16728	1067
188	16838	980
189	16933	891
190	17026	802
191	17119	713
192	17217	624
193	17302	535
194	17390	445
195	17473	356
196	17559	267
197	17642	178
198	17727	89
199	17823	0
